SourceIP,DestinationIP,SourcePort,DestinationPort,TimeStamp,Duration,FlowBytesSent,FlowSentRate,FlowBytesReceived,FlowReceivedRate,PacketLengthVariance,PacketLengthStandardDeviation,PacketLengthMean,PacketLengthMedian,PacketLengthMode,PacketLengthSkewFromMedian,PacketLengthSkewFromMode,PacketLengthCoefficientofVariation,PacketTimeVariance,PacketTimeStandardDeviation,PacketTimeMean,PacketTimeMedian,PacketTimeMode,PacketTimeSkewFromMedian,PacketTimeSkewFromMode,PacketTimeCoefficientofVariation,ResponseTimeVariance,ResponseTimeStandardDeviation,ResponseTimeMean,ResponseTimeMedian,ResponseTimeMode,ResponseTimeSkewFromMedian,ResponseTimeSkewFromMode,ResponseTimeCoefficientofVariation,Classification
192.168.1.50,216.58.215.132,56142,443,2025-01-13 21:08:03,0.07407903671264648,159,2146.356203533842,2183,29468.52573782627,307838.25,554.8317312483128,585.5,405.0,66.0,0.9759715775117659,0.9363199160062093,0.9476203778792704,0.0011394604527623642,0.033755895081635214,0.04072701930999756,0.044414520263671875,0.0,-0.32772061988785683,1.2065157570700877,0.8288329382687947,0.0,0.0,0.014753103256225586,0.014753103256225586,0.014753103256225586,-10.0,-10.0,0.0,False
192.168.1.50,216.58.215.132,56142,443,2025-01-13 21:08:03,0.0740809440612793,159,2146.3009416898926,3649,49256.931674379986,370315.44000000006,608.535487872318,761.6,651.0,1466.0,0.5452434683145675,-1.1575331497311068,0.7990224368071401,0.0010895658496201575,0.033008572365677336,0.047397804260253903,0.07407593727111816,0.0,-2.424654969804553,1.4359240907231312,0.6964156437381033,0.0,0.0,0.014753103256225586,0.014753103256225586,0.014753103256225586,-10.0,-10.0,0.0,False
192.168.1.50,216.58.215.132,56142,443,2025-01-13 21:08:03,0.07408404350280762,159,2146.2111472624233,5115,69043.20766193267,377510.0,614.4184242029205,879.0,1058.5,1466.0,-0.8764385617156438,-0.9553749967076749,0.6989970696278959,0.0010068820086988556,0.031731404140044855,0.05184551080067953,0.07407748699188232,0.0,-2.1018902371685,1.6338864354020433,0.6120376412537719,0.0,0.0,0.014753103256225586,0.014753103256225586,0.014753103256225586,-10.0,-10.0,0.0,False
192.168.1.50,216.58.215.132,56142,443,2025-01-13 21:08:03,0.07408595085144043,159,2146.1558928876,5506,74319.08393861086,352740.4897959184,593.9195987639391,809.2857142857143,651.0,1466.0,0.7995310204367931,-1.1057292722466716,0.7338812341301983,0.0009236095389236912,0.03039094501531157,0.0550227165222168,0.07407903671264648,0.0,-1.8811182259217734,1.8104970574128327,0.5523345072037741,0.0,0.0,0.014753103256225586,0.014753103256225586,0.014753103256225586,-10.0,-10.0,0.0,False
192.168.1.50,216.58.215.132,56142,443,2025-01-13 21:08:03,0.07424497604370117,225,3030.508082695902,5506,74159.90001477172,369074.734375,607.5152132868773,716.375,521.0,1466.0,0.9647906540954777,-1.2339197169141778,0.848040779322111,0.0008485718907422779,0.02913025730648938,0.057425498962402344,0.07407999038696289,0.0,-1.7151744918693603,1.9713351089971185,0.5072704257312863,0.0,0.0,0.014753103256225586,0.014753103256225586,0.014753103256225586,-10.0,-10.0,0.0,False
192.168.1.50,216.58.215.132,56142,443,2025-01-13 21:08:03,0.07459402084350586,291,3901.116962316617,5506,73812.88657909035,369842.987654321,608.147175981539,644.1111111111111,391.0,66.0,1.248601265158853,0.9506105330145614,0.9441650135990773,0.0007833980405197462,0.02798924865943611,0.05933311250474718,0.0740809440612793,0.0,-1.580731773401155,2.1198537062102956,0.47173066569188865,0.0,0.0,0.014753103256225586,0.014753103256225586,0.014753103256225586,-10.0,-10.0,0.0,False
192.168.1.50,216.58.215.132,56142,443,2025-01-13 21:08:03,0.07631802558898926,291,3812.991724486959,6972,91354.56461554322,393653.80999999994,627.4183691923595,726.3,521.0,1466.0,0.981641644940701,-1.1789581502884183,0.8638556645908847,0.0007310220909909047,0.027037420198512,0.06103160381317139,0.07408249378204346,0.0,-1.4480919266391756,2.2573013018649704,0.4430068769170537,4.243935200065607e-05,0.006514549255371094,0.008238554000854492,0.008238554000854492,0.0017240047454833984,0.0,1.0,0.7907394009549993,False
192.168.1.50,216.58.215.132,56142,443,2025-01-13 21:08:03,0.07632112503051758,291,3812.836876862618,8438,110559.16689679302,403086.61157024786,634.8910233813735,793.5454545454545,651.0,1466.0,0.6735586862747089,-1.059165306627131,0.800068880421023,0.0006838853272690606,0.02615120125862406,0.062421560287475586,0.07408404350280762,0.0,-1.3378907263182813,2.3869481049896475,0.4189450109575537,4.243935200065607e-05,0.006514549255371094,0.008238554000854492,0.008238554000854492,0.0017240047454833984,0.0,1.0,0.7907394009549993,False
192.168.1.50,216.58.215.132,56142,443,2025-01-13 21:08:03,0.07632303237915039,291,3812.741592267948,9904,129764.23618495448,404038.74305555556,635.6404196206811,849.5833333333334,1058.5,1466.0,-0.98601344510787,-0.9697568745463256,0.7481790127953087,0.0006416571068679704,0.025330951558675614,0.06358001629511516,0.07408499717712402,0.0,-1.2441278636148598,2.5099734665648437,0.398410586136037,4.243935200065607e-05,0.006514549255371094,0.008238554000854492,0.008238554000854492,0.0017240047454833984,0.0,1.0,0.7907394009549993,False
192.168.1.50,216.58.215.132,56142,443,2025-01-13 21:08:03,0.0763239860534668,291,3812.693951756496,11370,148970.20698100122,399938.92307692306,632.4072446429777,897.0,1466.0,1466.0,-2.6992100651276982,-0.8997366883758994,0.7050247989330856,0.0006038308512060638,0.024572969930516414,0.0645603216611422,0.07408595085144043,0.0,-1.1629399153500746,2.627290142123469,0.38062031443233163,4.243935200065607e-05,0.006514549255371094,0.008238554000854492,0.008238554000854492,0.0017240047454833984,0.0,1.0,0.7907394009549993,False
