"No.","Time","Source","Destination","Protocol","Length","Info"
"14537","693.464155670","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 AAAA incoming.telemetry.mozilla.org OPT"
"14539","693.464322796","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 A incoming.telemetry.mozilla.org OPT"
"14540","693.464438464","192.168.64.11","217.146.1.31","DoH","274","Standard query 0x0000 HTTPS incoming.telemetry.mozilla.org OPT"
"14545","693.487986991","217.146.1.31","192.168.64.11","DoH","294","Standard query response 0x0000 AAAA incoming.telemetry.mozilla.org CNAME telemetry-incoming.r53-2.services.mozilla.com SOA ns-1507.awsdns-60.org OPT"
"14574","694.167627119","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 AAAA incoming.telemetry.mozilla.org OPT"
"14575","694.167900705","192.168.64.11","217.146.1.31","DoH","274","Standard query 0x0000 A incoming.telemetry.mozilla.org OPT"
"14577","694.173092914","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 HTTPS incoming.telemetry.mozilla.org OPT"
"14633","695.542748049","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 AAAA incoming.telemetry.mozilla.org OPT"
"14634","695.543130636","192.168.64.11","217.146.1.31","DoH","482","Standard query 0x0000 HTTPS incoming.telemetry.mozilla.org OPT"
"14652","695.714271835","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 AAAA incoming.telemetry.mozilla.org OPT"
"14654","695.714613421","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 A incoming.telemetry.mozilla.org OPT"
"14655","695.714814672","192.168.64.11","217.146.1.31","DoH","274","Standard query 0x0000 HTTPS incoming.telemetry.mozilla.org OPT"
"14692","696.341307365","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 AAAA incoming.telemetry.mozilla.org OPT"
"14693","696.341420533","192.168.64.11","217.146.1.31","DoH","482","Standard query 0x0000 HTTPS incoming.telemetry.mozilla.org OPT"
"14720","696.433246455","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 AAAA eu.pftk.temu.com OPT"
"14722","696.433518332","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 A eu.pftk.temu.com OPT"
"14725","696.453478871","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 HTTPS accounts.google.com OPT"
"14727","696.453908416","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 HTTPS img-eu.kwcdn.com OPT"
"14744","696.484479459","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 AAAA accounts.google.com OPT"
"14745","696.484768337","192.168.64.11","217.146.1.31","DoH","274","Standard query 0x0000 A accounts.google.com OPT"
"14746","696.484882129","192.168.64.11","217.146.1.31","HTTP2","323","HEADERS[669]: POST /"
"14747","696.485005714","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 A img-eu.kwcdn.com OPT"
"14788","696.556433468","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 AAAA incoming.telemetry.mozilla.org OPT"
"14789","696.556596136","192.168.64.11","217.146.1.31","DoH","274","Standard query 0x0000 A incoming.telemetry.mozilla.org OPT"
"14791","696.556858054","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 HTTPS incoming.telemetry.mozilla.org OPT"
"14845","696.665515323","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 AAAA accounts.google.com OPT"
"14846","696.666197412","192.168.64.11","217.146.1.31","DoH","274","Standard query 0x0000 A accounts.google.com OPT"
"14890","696.954589742","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 AAAA eu.pftk.temu.com OPT"
"14892","696.954772160","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 A eu.pftk.temu.com OPT"
"14893","696.954941703","192.168.64.11","217.146.1.31","DoH","274","Standard query 0x0000 HTTPS eu.pftk.temu.com OPT"
"15006","697.373273559","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 AAAA eu.pftk.temu.com OPT"
"15007","697.374581154","192.168.64.11","217.146.1.31","DoH","482","Standard query 0x0000 HTTPS eu.pftk.temu.com OPT"
"15050","697.448409802","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 AAAA www.temu.com OPT"
"15051","697.449135808","192.168.64.11","217.146.1.31","DoH","482","Standard query 0x0000 HTTPS www.temu.com OPT"
"15084","697.550323349","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 AAAA www.temu.com OPT"
"15086","697.550923187","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 A www.temu.com OPT"
"15088","697.551670818","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 HTTPS www.temu.com OPT"
"15090","697.551875653","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 A www.temu.com OPT"
"15093","697.557179239","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 A stun.ideasip.com OPT"
"15103","697.571672483","192.168.64.11","217.146.1.31","DoH","274","Standard query 0x0000 A stun.voiparound.com OPT"
